GET , /v1/users/self/?access_token=610a2ee688cda9e724885e23cd2cfdee , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:24:23
GET , /v1/users/cx , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:24:26
GET , /v1/users/cx/as , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:24:27
GET , /v1/users/cx , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:24:29
GET , /v1/users/cx , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:26:00
GET , /v1/users/1/ , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:26:02
GET , /v1/users/2/ , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:26:03
GET , /v1/users/2/ , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:26:28
GET , /v1/users/1/ , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:26:30
GET , /v1/users/1/ , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:27:04
GET , /v1/users/1/?access_token=asdsadsa , Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0 , 127.0.0.1 , Mozilla Firefox 52.0 , 18:27:25
